asin,title,brand,parent_asin,category_tree,product_group,size,color,model,variation_count,sales_rank_current,sales_rank_avg30,sales_rank_avg90,sales_rank_avg180,sales_rank_drops30,sales_rank_drops90,sales_rank_drops180,sales_rank_drops365,new_price_current,new_price_avg30,bb_price,competitive_price_threshold,bb_is_amazon,bb_is_fba,our_bb_pct,n_unique_bb_sellers,total_offer_count,monthly_sold_badge,monthly_sold_delta90,monthly_sold_last3,review_count,rating,oos_amazon_30,oos_amazon_90,sr_history_points,sr_min,sr_max,sr_median,listed_since_keepa_min,data_pulled_at
B07NDJV6GZ,"Nike Girls Performance Game Shorts Youth (Medium, Black)",Nike,B07RFTLNW5,"Clothing, Shoes & Jewelry > Girls > Clothing > Active > Active Shorts",Apparel,Medium,Black,836323,22,34262,30137,26837,26837,11,35,73,243,31.99,29.23,31.99,36.99,False,True,3.2,100,13,300,6,300|200|300,1613,4.3,1,1,9687,3167,2364046,31114,4339560,2026-03-08
B07RX8Q1D4,"Nike Men's Nike Dri-fit Victory Polo, Black/White, X-Large",Nike,,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,X-Large,Black/White,BV0354,0,1129819,1101274,1111597,1111597,20,67,142,309,43.7,43.53,43.7,44.99,False,True,5.8,246,4,,0,50|100|50,120,4.6,1,1,9029,4709,2422219,25043,4824150,2026-03-08
B07RYBFRM1,"Nike Men's Nike Dri-fit Victory Polo, Black/White, Large",Nike,B07S2GWVH8,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,Large,Black/White,BV0354,74,68947,51385,55681,55681,9,41,76,265,43.97,42.1,,32.8,False,False,6.4,308,3,,0,100|50|50,621,4.5,8,8,10474,4709,2422219,27979,4824150,2026-03-08
B07S2GY2VX,"Nike Men's Nike Dri-fit Victory Polo, Black/White, Medium",Nike,B07S2GWVH8,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,Medium,Black/White,BV0354,74,68946,51407,55542,55542,10,45,79,269,36.1,36.08,,32.8,False,False,9.8,210,13,,0,50|100|50,621,4.5,5,5,9004,4709,2422219,31312,4824150,2026-03-08
B07W4SXJWJ,Nike Park III Shorts Navy Medium,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Medium,Navy,BV6855-410,67,3893,7969,12127,12127,60,120,261,742,23.36,24.01,,20.0,False,False,31.2,11,5,,0,50|100|50,8843,4.2,1,1,2245,2528,3060606,10058,7265946,2026-03-08
B087LR137V,Nike Park III Shorts Navy XL,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,X-Large,Navy/White,BV6857,67,3893,7966,12188,12188,65,119,282,938,25.0,20.93,25.0,36.01,False,True,5.2,68,9,,0,200|100|50,8843,4.2,1,1,7272,530,1098581,3872,4897428,2026-03-08
B087LTC1XS,Nike Men's Soccer Park III Shorts (Medium) Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Medium,Black,BV6855,67,3891,7950,12158,12158,73,132,299,857,19.2,18.8,19.99,23.81,False,True,5.8,149,14,700,-61,700|600|700,8843,4.2,1,1,8734,544,561492,3879,4897428,2026-03-08
B087LVL4BB,Nike Park III Shorts Royal S,Nike,,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Small,Royal,BV6855,0,1196828,1193104,1063137,1063137,14,55,170,546,27.0,27.22,,22.96,False,False,7.1,47,3,,0,50|100|50,66,4.0,1,1,5744,530,2790303,3872,4897428,2026-03-08
B087LW8TKN,Nike Park III Shorts Royal L,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Large,Royal,BV6855,67,3893,7949,12177,12177,69,121,272,904,27.0,24.47,,23.81,False,False,6.4,66,5,,0,50|100|50,8846,4.2,1,1,7137,530,1997976,3978,4897428,2026-03-08
B087LWNKFB,Nike Men's Soccer Park III Shorts (Small) Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Small,Black,BV6857,67,3893,8101,12215,12215,31,80,225,845,22.0,22.36,22.0,22.96,False,True,4.3,137,11,400,-27,50|300|400,8846,4.2,1,1,7738,541,292799,3514,4897428,2026-03-08
