asin,units_30d,units_ordered,units_ordered_b2b,ordered_product_sales,total_order_items,browser_sessions,mobile_sessions,sessions,browser_page_views,mobile_page_views,page_views,buy_box_percentage,unit_session_percentage
B08JQLTHYF,23,23,0,986.54,23,544,1080,1624,692,1268,1960,34.6,1.42
B08JQLZ8WW,834,834,11,31010.76,814,4961,13848,18809,6637,17945,24582,36.01,4.43
B08JQM7V2K,45,45,1,1984.09,45,982,2549,3531,1248,3165,4413,19.66,1.27
B08JQMMX4D,22,22,0,942.7,22,836,2714,3550,1048,3164,4212,15.44,0.62
B08JQMXQ8N,1055,1055,16,38880.53,1031,7763,16504,24267,10253,21324,31577,52.61,4.35
B08JQN6LBK,22,22,2,945.64,22,666,1718,2384,843,2133,2976,18.14,0.92
B08JVFYQK1,106,106,0,4960.89,106,639,1558,2197,832,1939,2771,65.37,4.82
B08K3LGXSM,397,397,3,14715.55,383,1427,5585,7012,1888,7243,9131,55.68,5.66
B08K3LRL3Z,64,64,0,2308.18,62,5702,13951,19653,7563,18161,25724,2.61,0.33
B08KGNGQNY,38,38,0,1457.76,34,4249,12753,17002,5978,17378,23356,1.8,0.22
B08KL3J235,83,83,1,3990.21,82,831,2683,3514,1066,3378,4444,73.21,2.36
B08KPMVBNY,192,192,1,8435.99,190,1193,4087,5280,1644,5317,6961,54.06,3.64
B08KPP4K64,106,106,2,4645.18,104,775,3276,4051,993,4008,5001,39.77,2.62
B08KPPC3VS,57,57,2,2676.15,57,710,2443,3153,909,2916,3825,48.27,1.81
B08L47FXJ2,36,36,0,1982.48,36,504,1543,2047,623,1854,2477,46.94,1.76
B08L48P41T,68,68,2,3324.99,68,424,1258,1682,514,1486,2000,70.96,4.04
B08LF2KNDF,9,9,0,332.1,9,1994,6277,8271,2676,8254,10930,0.5,0.11
B08LP2PKH2,0,,,,,,,,,,,,
B08LX7SYK4,407,407,5,15243.73,378,2436,7292,9728,3179,9854,13033,30.45,4.18
B08MLG24ZV,13,13,0,531.63,12,738,2761,3499,971,3534,4505,5.06,0.37
B08MZ6RBRD,70,70,1,3321.41,70,955,2507,3462,1254,3182,4436,52.63,2.02
B08NRP2H1R,36,36,1,1460.71,35,1385,3542,4927,1757,4370,6127,17.79,0.73
B08NY17QXS,5,5,0,147.91,5,293,903,1196,360,1110,1470,6.77,0.42
B08NY22RD4,19,19,0,458.38,19,420,1154,1574,529,1441,1970,18.66,1.21
B08NY39NVG,205,205,2,5338.22,196,1279,3576,4855,1617,4408,6025,38.76,4.22
B08PXNTP2X,12,12,0,678.46,12,430,1255,1685,499,1515,2014,41.14,0.71
B08QR3CRBG,5,5,0,266.33,5,178,403,581,240,488,728,38.67,0.86
B08QVQGKRG,0,,,,,,,,,,,,
B08S22J84V,454,454,3,10436.76,443,3586,13548,17134,4867,18575,23442,25.01,2.65
B08WK22KBJ,15,15,0,778.95,15,487,1205,1692,581,1377,1958,57.01,0.89
B08WKRZ867,4,4,1,191.14,4,378,754,1132,474,867,1341,16.3,0.35
B08WT2NWBV,0,,,,,,,,,,,,
B08WT2QX8T,61,61,0,1750.93,57,339,1113,1452,455,1343,1798,38.57,4.2
B08WT2YR61,454,454,5,11929.0,416,3033,8210,11243,4041,10781,14822,62.47,4.04
B08WT87J58,62,62,1,1631.08,61,726,2034,2760,935,2473,3408,22.26,2.25
B08WT9L8QX,79,79,0,2024.33,79,1009,2757,3766,1259,3296,4555,23.26,2.1
B08WTCQ3L4,70,70,1,1711.38,69,460,1127,1587,588,1401,1989,37.21,4.41
B08WTCXHGH,0,,,,,,,,,,,,
B08WTG63BD,365,365,5,9133.39,340,4653,11839,16492,6292,15635,21927,32.3,2.21
B08WTHJJ66,28,28,4,603.85,25,263,458,721,312,513,825,2.36,3.88
B08WTHXMG6,183,183,2,4906.41,179,628,1911,2539,809,2362,3171,64.58,7.21
B08WTM4CNK,43,43,0,1114.68,42,238,743,981,312,926,1238,50.89,4.38
B08WTM61R4,37,37,2,1072.56,32,352,851,1203,433,1019,1452,40.68,3.08
B08WTNY5XB,199,199,1,5087.71,187,1624,6471,8095,2218,8346,10564,28.19,2.46
B08WTPXXBW,205,205,3,5300.15,202,981,2789,3770,1227,3369,4596,51.89,5.44
B08WTR3FF9,11,11,0,241.89,9,159,287,446,191,353,544,3.49,2.47
B08WTSTJK9,72,72,0,1948.21,67,345,1038,1383,452,1238,1690,42.19,5.21
B08WTTKSKX,145,145,3,3564.45,144,604,1534,2138,787,1864,2651,65.18,6.78
B08WTTY37S,63,63,1,1627.32,61,292,870,1162,372,1056,1428,43.0,5.42
B08WTXD7ZF,56,56,0,1363.94,55,676,2155,2831,873,2668,3541,17.73,1.98
B08WTYGVL5,141,141,1,3561.57,134,631,1739,2370,805,2121,2926,43.48,5.95
B08WTZRG59,3,3,0,74.43,3,171,450,621,218,541,759,2.41,0.48
B08WV3DW85,383,383,4,8758.7,347,1722,5273,6995,2354,7068,9422,63.2,5.48
B08YQJYDV1,5,5,0,139.5,5,181,478,659,235,578,813,12.17,0.76
B08YRC7LGQ,38,38,0,1087.45,38,178,436,614,241,524,765,44.64,6.19
B0959JT4PV,30,30,0,983.1,30,17230,53909,71139,26568,92561,119129,0.11,0.04
B096HCR6YC,66,66,1,1616.56,63,175,515,690,234,646,880,52.75,9.57
B09B1C7S6Z,24,24,0,610.55,23,83,278,361,113,335,448,60.72,6.65
B09B1DG795,35,35,0,899.97,34,93,434,527,117,528,645,70.95,6.64
B09CN9199F,29,29,1,801.7,27,138,236,374,178,289,467,64.69,7.75
B09Y94CJWS,126,126,3,3049.23,120,580,1518,2098,779,1874,2653,47.3,6.01
B0B16655W8,22,22,0,581.99,21,361,1025,1386,463,1199,1662,10.39,1.59
B0B16HKH26,31,31,0,789.86,30,419,1057,1476,559,1281,1840,36.75,2.1
B0B33YLDD3,453,453,12,13636.41,403,3919,9715,13634,5374,12907,18281,45.47,3.32
B0B4V6NKG7,22,22,0,535.92,22,68,194,262,86,219,305,55.8,8.4
B0B9QVZ41G,0,,,,,,,,,,,,
B0BH39YK2D,33,33,1,1480.44,33,387,908,1295,489,1188,1677,54.33,2.55
B0BNC8NGLM,43,43,1,2215.61,42,332,1021,1353,455,1221,1676,44.28,3.18
B0BQ3Y57RS,22,22,0,657.09,21,380,760,1140,509,946,1455,19.45,1.93
B0BTB558K4,2,2,0,22.24,2,748,2170,2918,1030,2893,3923,0.31,0.07
B0BW1CN9PP,2,2,0,69.44,2,49,70,119,67,88,155,20.98,1.68
B0BYTCLTYK,90,90,2,2487.44,85,343,836,1179,452,1034,1486,66.3,7.63
B0BYTD1J5W,69,69,0,1747.63,69,192,668,860,254,842,1096,57.18,8.02
B0BYTD28MS,48,48,2,1146.98,47,140,449,589,179,534,713,76.86,8.15
B0C2X1HSWQ,11,11,0,354.26,11,366,1000,1366,484,1322,1806,21.42,0.81
B0C34H6HD7,139,139,2,3245.75,128,1229,2450,3679,1738,3358,5096,29.02,3.78
B0C4V8HZ1C,43,43,0,1192.05,40,358,890,1248,438,1049,1487,63.8,3.45
B0C4V9HFJV,19,19,1,501.39,19,197,623,820,243,760,1003,27.8,2.32
B0C5Z2P75V,2,2,0,56.88,2,69,93,162,82,125,207,34.46,1.23
B0C6C3BK1V,24,24,0,2663.76,24,1101,2044,3145,1661,3236,4897,74.94,0.76
B0C7LQ3RYQ,23,23,0,582.7,22,158,474,632,196,596,792,23.03,3.64
B0C7LQ98R1,29,29,0,751.89,28,182,438,620,249,534,783,41.7,4.68
B0C7LQB5KV,60,60,0,1454.12,52,594,1583,2177,769,1995,2764,25.23,2.76
B0C7LQCSJ3,12,12,0,323.17,11,224,613,837,277,776,1053,22.96,1.43
B0C7LQDZ4J,38,38,0,984.87,38,121,377,498,175,464,639,41.33,7.63
B0C7LQHFS6,10,10,0,293.91,10,116,247,363,150,302,452,52.81,2.75
B0C7LQMDW4,29,29,0,714.8,28,252,627,879,334,746,1080,29.74,3.3
B0C7LQRQ2Y,14,14,1,385.28,14,105,229,334,126,250,376,23.3,4.19
B0C7LR3B8X,12,12,0,298.57,12,140,390,530,185,440,625,15.49,2.26
B0C7LR52SX,3,3,0,72.0,3,47,146,193,57,177,234,2.71,1.55
B0C7LR9LG6,35,35,0,871.93,35,294,814,1108,378,978,1356,20.75,3.16
B0C7LRB8HS,30,30,0,660.13,28,93,290,383,121,347,468,54.41,7.83
B0C7LRZ627,39,39,0,836.0,35,132,415,547,163,486,649,43.81,7.13
B0C7LS352Q,15,15,1,420.56,15,114,275,389,136,316,452,17.55,3.86
B0C7LS8GRR,18,18,0,444.15,17,182,553,735,248,703,951,22.63,2.45
B0C7LS8W3V,165,165,3,4105.52,155,661,1849,2510,916,2316,3232,47.28,6.57
B0C7LSGV7L,17,17,0,466.31,17,216,444,660,255,505,760,20.2,2.58
B0C7LSHR5Z,15,15,0,377.47,14,164,389,553,196,443,639,16.29,2.71
B0C7LSJ8TY,266,266,0,6197.9,250,1844,4856,6700,2659,6180,8839,57.36,3.97
B0CGY1MCPL,66,66,1,2482.9,64,704,1804,2508,876,2170,3046,54.73,2.63
B0CGY5B4LH,4,4,0,112.0,4,335,798,1133,417,950,1367,3.21,0.35
B0CGY634NR,8,8,0,252.62,8,163,536,699,204,631,835,18.42,1.14
B0CGY63CG4,5,5,0,139.98,5,1279,4299,5578,1706,5593,7299,1.8,0.09
B0CGYSJSNN,3,3,0,89.97,3,1053,2777,3830,1406,3566,4972,1.41,0.08
B0D1H6G7RM,92,92,8,3601.61,86,336,862,1198,440,1005,1445,72.44,7.68
B0DBLQGGWV,2,2,0,88.59,2,40,58,98,55,82,137,17.86,2.04
B0DBZFRNDL,3,3,0,123.85,3,325,649,974,447,875,1322,8.24,0.31
B0DGX1DJ15,50,50,1,2285.8,49,727,2672,3399,974,3289,4263,28.46,1.47
B0DP7P3T6D,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
