asin,units_30d,CES,Ensemble,LSTM,LightGBM,MA7,NGBoost,NHITS,PatchTST,SeasonalNaive,XGBoost
B07GP4Q8Z5,37,22.750626850873232,35.04350909716284,55.0953997,34.26739049815605,17.142857142857142,30.287352424326563,32.04486497,35.70516004,16.0,35.15376925468445
B07GP4RMBS,39,19.541004460304976,26.784839671572783,41.04894065,34.089799241102,25.71428571428571,28.668370182234945,10.5496104,18.3915023,25.0,35.20465052127838
B07GP51K96,20,7.106341555714606,15.863889771401537,17.01524864,29.607949882070873,8.571428571428571,27.2142863021065,2.3561634175,20.15940175,9.0,7.587836876511573
B07GP57H1W,64,33.9109747139737,44.04331613558797,49.55349973,56.252425690804074,42.85714285714286,56.3139613423269,24.09131455,50.1765581,41.0,38.00447916984558
B07GP5QGCJ,49,53.56454876065254,72.23689428021743,30.62552693,86.93971615422528,55.7142857142857,95.10571689370155,76.4189299,102.1353867,55.0,60.8684344291687
B07GP5VB7G,8,4.682014144957065,10.899494304858672,18.38026695,27.530144034934953,4.285714285714284,7.242656981555899,1.483544123,11.124970888,5.0,5.852863043546676
B07GP6CKLT,1,3.627246069372631,7.188048996988986,0.68583588,27.580432992349387,4.285714285714284,8.477916755395258,3.292840533,0.53320374635,4.0,6.118867009878158
B07GP6GZSG,34,16.995882719755173,25.223936939305894,21.87345025,33.57528228172934,21.42857142857143,28.759436843171777,18.068976799999998,36.76488274,23.0,20.52964712679386
B07GP6PWBS,104,80.0781294181943,86.91793597663528,78.63883153,85.39316648336143,85.71428571428572,93.42946993940782,86.11414979999999,113.7412607,88.0,71.03054404258728
B07GRDY3LG,36,13.481511320918798,25.421038072836883,30.86876757,33.1080067783804,30.0,28.348632163262657,27.91970539,25.67682302,34.0,18.543820217251778
B07MGBZYBH,180,221.86683032661676,124.74255841932215,196.6965917,88.66555328488971,85.71428571428572,97.5409368342161,95.3957762,105.69918621,92.0,67.33303308486938
B07NDJV6GZ,68,32.401677157729864,51.09148742095877,79.4299216,58.39192013939318,42.85714285714286,57.80403341580082,35.1259316,52.5520585,43.0,41.93486940860748
B07RX8Q1D4,0,2.5790492370724674,6.135717207732669,0.106068627,26.868346022319784,0.0,7.6479384017965355,0.15425437011,0.31184381545,0.0,5.282519981265067
B07RYBFRM1,9,12.590658724308014,18.19075994753879,8.102007096,29.634124175777455,12.857142857142854,27.640825324667002,39.33186596,2.0034256299999997,15.0,8.032412752509117
B07S2GY2VX,6,7.731715708971024,12.636665836361091,0.666451573,26.822974164596612,0.0,7.450704140859715,39.14439514,1.2074915,0.0,5.432929053902625
B07W4SXJWJ,14,2.61605261825025,7.9999572684268045,8.660577289999999,27.226778830513066,4.285714285714284,7.998414803425693,0.7722517344,2.8727625852,5.0,5.852863043546676
B087LR137V,27,39.79188463836908,42.46952152929435,13.92263766,57.10201133948098,38.57142857142858,57.71436184009491,37.067258700000004,52.3140064,39.0,39.37448990345001
B087LTC1XS,517,378.7312707086094,432.2432469358401,237.029349,547.5107055634245,394.2857142857143,457.7501247229998,454.40884,464.64734450000003,390.0,485.6250925064087
B087LVL4BB,1,13.844206549227238,8.31074530012651,2.361915068,26.93765606374783,0.0,7.906873909130325,0.1787484286,1.221102505,0.0,5.724714577198028
B087LW8TKN,8,10.926698226947337,12.769566282850324,6.660489162,29.620731802901194,12.857142857142854,27.512905548228247,1.854466373,4.912631921,12.0,7.899040982127189
B087LWNKFB,300,246.61706522852182,224.53965695191553,83.6110694,260.5230004710359,227.14285714285714,270.2315745497732,236.3878777,221.7865257,229.0,252.62048721313477
B087LZR1BM,29,19.897491201758385,23.2809024925097,14.90461759,34.29309225002993,30.0,28.8011418167196,6.86436278,22.99384539,31.0,35.21176636219025
B087M3MJ1L,114,110.33738423511386,122.15631680991665,54.857266,166.49732564270997,201.42857142857144,134.44374765594205,153.2923408,108.4428558,211.0,127.2232973575592
B087M3RDVK,8,1.6643658727407453,8.849541406882786,14.00338203,26.772766055264473,0.0,7.18396608608214,0.16595101348,6.723429701,0.0,5.432929053902625
B088XWQ8TH,14,3.894841343164443,14.238716993066177,19.96665818,29.59367427224241,8.571428571428571,27.472027056797657,1.2958075993,9.582528387,9.0,7.865482211112975
B088Y3W864,2,3.382843919098377,8.053206024753141,6.6676274,26.848242874991122,0.0,7.9217252718989,0.66384554024,5.2005276480000004,0.0,5.68762956559658
B089VF7L7J,110,106.03830863162875,102.15300682917972,109.5900056,85.98791130895498,72.85714285714285,92.29035227010739,162.2136633,101.4955913,76.0,57.45521569252014
